"","ID","B_Callibaetis","C_Caenis","Ceratopogonidae","C_Chaoborus","C_Apedilum","C_Asheum","C_Beardius","C_Caladomyia","C_Chironomus","C_Goeldchironomus","C_Parachironomus","C_Polypedilum","C_Tanytarsini","C_T_Ablabesmyia","C_T_Labrundinia","C_T_Larsia","C_Oxyagrion","C_Tenagobia","C_Heterocorixa","C_Culex","D_Rhantus","D_Hydaticus","D_Thermonectus","D_Derovatellus","G_Rheumatobates","H_Berosus","H_Tropisternus","L_Erythrodiplax","L_Orthemis","L_Pantala","N_Ctenipocoris","N_Hydrocanthus","N_Buenoa","N_Notonecta","P_Campsurus","V_Microvelia"
"3","A1",0,0,0,0,0,0,0,0,0,15,0,1,1,0,0,0,0,0,0,5,1,0,0,0,0,0,2,0,0,9,0,0,0,0,0,3
"4","A2",0,0,0,0,0,0,0,0,2,11,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,1
"5","A3",0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,34
"6","A4",0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,16
"7","A5",0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3
"8","A6",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,2
"9","A7",2,0,0,0,0,0,0,0,8,11,0,3,1,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"10","A8",0,2,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"11","B1",0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,50,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,35
"12","B2",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4
"13","B3",0,2,0,0,0,0,0,0,1,1,0,3,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
"14","B4",0,4,0,0,0,1,0,0,2,20,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"15","B5",0,1,0,0,0,0,0,0,0,74,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
"16","B6",0,0,0,0,0,0,0,0,2,32,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"17","B7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1
"18","B8",0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
